ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample
3205,M,BLACK,38-42,2,No,3,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,1,2,2,3,2,No,Yes,1,2,Yes,0,2 or more,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,0,0,0,1,31.08333333333333,0,0,0,0,1,2.937667560321716,No,Yes,No,No,Yes,1
3206,M,WHITE,38-42,24,No,9,Specialized,At least some college,3 or more,Property,More than 3 years,10 or more,5,1,4,5 or more,2,Yes,Yes,1,2,No,3 or more,1,No,No,No,Yes,No,No,No,No,No,No,No,No,0,10 or more,0,0,,.0322580635547638,0,0,0,0,,No,No,No,No,No,1
3207,M,BLACK,43-47,5,No,8,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,6,1,3 or more,1,1,2,No,Yes,3 or more,1,Yes,0,0,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,4 or more,10 or more,0,0,62.22222222222222,0,0,0,0,0,0,No,No,No,No,No,1
3208,M,BLACK,38-42,21,No,3,Specialized,High School Diploma,1,Violent/Non-Sex,Less than 1 year,10 or more,4,3 or more,0,3,5 or more,Yes,Yes,0,0,No,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,1,0,0,2,143.6,0,0,0,0,1,1.526114206128134,No,Yes,No,Yes,No,1
3210,M,WHITE,38-42,25,No,1,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,3 or more,5 or more,5 or more,5 or more,Yes,No,3 or more,4 or more,Yes,3 or more,1,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,3,1,0,1,47,.125,0,.25,0,0,0,No,No,No,No,No,1
3211,M,BLACK,38-42,2,No,6,High,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,0,2,0,0,0,No,No,1,0,Yes,0,0,No,No,No,No,No,No,No,No,No,No,No,No,3,0,0,0,45.90476190476191,0,0,0,0,.8298755186721992,.5683350622406639,No,No,No,No,No,0
3212,M,BLACK,38-42,7,No,4,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,8,2,3 or more,1,0,1,Yes,Yes,3 or more,0,Yes,1,0,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,0,0,0,1,290.5,0,0,0,0,.9690189328743546,1.257314974182444,No,No,No,No,No,1
3213,M,BLACK,38-42,8,No,4,Standard,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,8,6 or more,3 or more,0,4,2,Yes,No,1,2,No,0,1,No,No,No,No,No,No,Yes,Yes,No,No,No,No,0,1,0,0,,,,,,0,0,Yes,Yes,Yes,No,No,1
3215,M,BLACK,38-42,7,No,5,,High School Diploma,2,,1-2 years,10 or more,2,0,0,5 or more,4,No,No,3 or more,1,No,0,1,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,0,0,No,Yes,Yes,No,No,1
3216,M,BLACK,38-42,12,No,10,Specialized,High School Diploma,1,Other,More than 3 years,8,0,3 or more,1,4,2,No,Yes,2,0,No,0,2 or more,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,4 or more,10 or more,3 or more,3 or more,19.77611940298507,.1194029822945595,0,0,0,1,1.102641509433962,No,No,No,No,No,1
3217,M,BLACK,48 or older,16,No,4,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,2,1,1,1,0,0,No,No,0,1,Yes,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,3 or more,,0,.0188679248094559,0,0,0,,No,No,No,No,No,1
3218,M,BLACK,38-42,8,No,2,,Less than HS diploma,1,Other,Less than 1 year,2,4,3 or more,0,0,2,Yes,No,1,2,Yes,0,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,1,94.2,0,0,0,0,.9745222929936306,1.550955414012739,No,No,No,No,No,1
3219,M,BLACK,38-42,9,No,5,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,4,6 or more,3 or more,0,1,0,No,Yes,1,2,Yes,0,1,No,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,1,40.56896551724138,0,0,0,0,.6799830004249894,.6209094772630683,No,No,No,No,No,1
3220,M,BLACK,38-42,18,No,1,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,1,1,2,0,1,No,No,0,1,Yes,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,1,,0,0,0,0,,,No,No,No,No,No,1
3221,M,BLACK,38-42,18,No,5,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,0,1,1,0,0,No,Yes,1,0,Yes,1,0,No,No,Yes,No,No,No,No,No,No,No,No,No,0,7,0,3 or more,,0,0,0,0,,,Yes,No,No,No,No,0
3222,M,BLACK,38-42,18,No,4,Specialized,Less than HS diploma,1,Violent/Sex,1-2 years,5,0,0,2,0,2,No,No,2,0,No,1,0,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,0,10 or more,2,0,29.15,.1500000059604645,.0500000007450581,0,0,0,0,Yes,No,No,No,No,1
3223,M,BLACK,48 or older,22,No,6,High,High School Diploma,0,Property,More than 3 years,9,1,0,5 or more,0,4,Yes,No,1,2,Yes,3 or more,0,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,3,0,0,1,,,,,,0,0,No,No,No,No,No,1
3225,M,BLACK,33-37,4,No,6,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,8,0,2,0,3,3,No,No,2,0,Yes,1,1,No,No,No,No,No,No,No,Yes,No,No,Yes,No,4 or more,0,0,1,,,,,,0,0,No,Yes,No,Yes,No,0
3226,M,BLACK,38-42,6,No,7,Standard,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,2,2,2,1,0,0,No,Yes,1,0,Yes,0,0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,0,0,0,0,,0,0,0,0,,,No,No,No,No,No,1
3227,M,BLACK,38-42,4,No,6,High,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,5,1,2,0,1,0,Yes,Yes,3 or more,2,Yes,0,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,0,10 or more,0,0,122.8333333333333,0,0,0,0,0,0,Yes,No,No,No,No,0
3228,M,BLACK,48 or older,20,No,6,Specialized,High School Diploma,0,Violent/Sex,More than 3 years,1,0,0,1,0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,4 or more,1,0,1,123.8571428571429,0,.1428571492433548,0,0,.8835063437139562,.842560553633218,No,No,No,No,No,1
3229,M,BLACK,38-42,3,No,5,Standard,High School Diploma,1,Violent/Non-Sex,More than 3 years,2,0,1,1,0,0,No,Yes,1,0,Yes,1,0,No,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,1,757,0,0,0,0,.797886393659181,.4824966974900925,No,No,No,No,No,0
3230,M,BLACK,38-42,7,No,6,High,At least some college,3 or more,Drug,Less than 1 year,8,4,2,3,3,3,No,No,1,3,Yes,0,1,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,0,300,0,0,0,0,0,0,No,Yes,Yes,No,No,1
3231,M,WHITE,38-42,22,No,7,Standard,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,6,1,1,3,0,2,No,No,1,0,Yes,2,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,0,0,0,25.62068965517241,0,0,0,0,.4522207267833109,.4915881561238223,No,No,No,No,No,1
3232,M,BLACK,33-37,1,No,6,High,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,No,No,1,0,Yes,0,0,No,No,No,No,No,No,No,No,No,No,No,No,0,5,1,0,644.6666666666666,0,0,0,0,.827300930713547,.1888572905894519,No,No,No,No,No,0
3233,F,BLACK,38-42,17,,7,High,High School Diploma,2,Violent/Non-Sex,More than 3 years,7,0,1,5 or more,1,0,No,No,3 or more,0,Yes,2,1,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,2,,0,0,0,.0588235296308994,,,No,No,No,No,No,1
3234,M,BLACK,38-42,24,No,7,High,High School Diploma,2,Drug,More than 3 years,10 or more,6 or more,0,0,5 or more,5 or more,No,No,1,4 or more,No,0,2 or more,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,0,0,0,0,166.5,0,0,0,0,.3596096096096096,.2742117117117117,No,Yes,No,Yes,No,0
3235,M,BLACK,38-42,14,Yes,5,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,0,2,0,0,0,No,Yes,1,0,Yes,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,3 or more,,0,0,0,0,,,No,No,No,No,No,1
3236,M,BLACK,33-37,5,Yes,7,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,7,5,3 or more,3,0,0,No,Yes,3 or more,4 or more,Yes,2,0,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,0,6,0,0,41.3,.1000000014901161,0,0,0,0,0,No,Yes,Yes,No,No,1
3237,M,BLACK,43-47,19,No,1,Standard,High School Diploma,3 or more,Drug,Less than 1 year,2,2,0,1,1,0,No,No,1,1,No,0,1,No,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,1,.6077371048252912,No,No,No,No,No,1
3238,M,BLACK,38-42,8,No,1,Standard,At least some college,3 or more,Violent/Non-Sex,Less than 1 year,1,0,1,0,0,0,No,No,0,0,Yes,0,0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,0,0,0,1,,,,,,0,0,Yes,No,No,No,No,0
3239,M,BLACK,48 or older,8,No,4,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,No,No,0,0,Yes,0,0,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,0,1,,0,0,0,0,,,No,No,No,No,No,0
3241,M,BLACK,38-42,20,No,8,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,4,1,2,0,1,0,No,Yes,1,1,Yes,0,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,2,10 or more,0,0,156.1666666666667,.3333333432674408,.1666666716337204,0,0,.3425827107790822,.3898078975453575,Yes,Yes,No,Yes,No,1
3242,M,BLACK,38-42,9,No,5,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,4,0,1,2,0,0,No,No,1,0,No,0,0,No,No,No,No,No,No,No,No,No,No,No,No,0,5,0,1,194.8333333333333,0,0,0,0,.2369546621043627,.3124465355004277,No,Yes,Yes,No,No,1
3243,M,BLACK,38-42,9,No,5,Standard,High School Diploma,1,,1-2 years,5,6 or more,1,0,5 or more,5 or more,No,No,3 or more,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,0,37,.0666666701436043,0,0,0,1,2.632432432432432,No,No,No,No,No,0
3244,M,BLACK,33-37,10,No,6,High,High School Diploma,2,Drug,1-2 years,7,2,0,1,4,2,No,No,3 or more,2,No,0,2 or more,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,4 or more,6,0,2,55.55555555555556,0,0,0,0,0,0,No,Yes,No,Yes,No,0
3245,M,WHITE,48 or older,23,No,2,Standard,At least some college,1,Property,Greater than 2 to 3 years,4,1,0,3,0,2,No,No,2,1,No,1,0,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,2,0,0,1,,,,,,0,0,No,Yes,Yes,No,No,1
3246,M,BLACK,43-47,7,No,4,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,7,2,3 or more,2,0,1,No,Yes,3 or more,1,Yes,1,0,No,No,Yes,No,No,No,No,No,No,No,No,No,0,1,0,1,,,,,,0,0,No,No,No,No,No,0
3247,M,WHITE,43-47,24,No,5,High,Less than HS diploma,0,Drug,Greater than 2 to 3 years,10 or more,6 or more,0,4,5 or more,4,No,No,2,4 or more,No,1,1,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,3 or more,68.66666666666667,0,0,0,0,.4757281553398058,1,No,Yes,Yes,No,No,1
3248,M,WHITE,43-47,2,No,4,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,No,No,0,0,Yes,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,1,0,0,2,,0,0,0,0,0,,No,No,No,No,No,1
3249,M,WHITE,38-42,22,No,10,Specialized,High School Diploma,3 or more,Property,More than 3 years,10 or more,4,1,5 or more,2,1,No,No,3 or more,1,No,3 or more,0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,0,0,2,50.375,0,0,0,0,.7344913151364765,1.812655086848635,Yes,Yes,No,Yes,No,1
3250,M,BLACK,33-37,21,No,4,,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,4,No,Yes,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,184,0,0,0,0,1,1.985054347826087,No,Yes,No,Yes,No,1
3251,M,BLACK,43-47,20,No,5,,Less than HS diploma,1,Property,Greater than 2 to 3 years,10 or more,5,1,5 or more,0,5 or more,No,No,1,3,No,2,0,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,0,10 or more,0,1,30.36363636363636,0,0,0,0,.218562874251497,.5467814371257484,Yes,Yes,No,Yes,No,1
3252,M,WHITE,43-47,18,No,5,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,No,No,1,0,Yes,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,4 or more,6,0,1,,,,,,.9768009768009768,.222985347985348,No,No,No,No,No,1
3253,M,BLACK,38-42,5,No,8,High,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,10 or more,6 or more,3 or more,1,5 or more,1,No,Yes,1,2,Yes,0,2 or more,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,2,5,0,0,,0,0,0,0,,,No,No,No,No,No,0
3254,M,BLACK,38-42,19,No,4,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,3,0,0,0,195,0,0,0,0,0,0,No,Yes,No,Yes,No,1
3255,M,BLACK,38-42,3,No,3,Standard,High School Diploma,0,Violent/Non-Sex,Less than 1 year,8,3,3 or more,4,0,3,Yes,No,0,2,Yes,2,0,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,2,0,0,0,,.2000000029802322,0,0,0,,,No,No,No,No,No,1
3256,M,BLACK,38-42,11,No,10,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,8,1,3 or more,1,2,1,No,Yes,3 or more,0,Yes,0,2 or more,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,0,3 or more,25.38888888888889,.1111111119389534,0,0,0,.8818380743982495,1.598468271334792,No,Yes,No,No,Yes,1
3257,M,BLACK,38-42,18,No,6,High,At least some college,3 or more,Drug,More than 3 years,10 or more,6 or more,3 or more,5 or more,4,0,Yes,No,2,2,No,1,2 or more,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,0,0,0,0,,,,,,1,.3792834890965732,No,No,No,No,No,1
3258,M,WHITE,38-42,17,No,10,Specialized,High School Diploma,1,Drug,Greater than 2 to 3 years,10 or more,2,0,5 or more,2,4,No,No,3 or more,2,No,3 or more,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,2,0,0,1,,,,,,0,0,No,Yes,Yes,No,No,1
3259,M,WHITE,43-47,12,No,4,Specialized,Less than HS diploma,2,Violent/Sex,More than 3 years,1,2,0,0,0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,No,No,Yes,No,No,No,0,10 or more,0,0,29.63636363636364,0,0,0,0,1,2.24079754601227,No,No,No,No,No,1
3260,M,BLACK,33-37,6,Yes,5,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,8,2,2,5 or more,0,1,No,Yes,2,0,Yes,1,0,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,4 or more,0,0,2,305.3333333333333,0,0,0,0,0,0,No,Yes,Yes,No,No,1
3261,M,BLACK,33-37,8,No,4,Standard,Less than HS diploma,1,Violent/Non-Sex,1-2 years,10 or more,5,0,4,4,5 or more,No,Yes,3 or more,3,No,3 or more,2 or more,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,3,0,0,0,,,,,,0,0,No,Yes,Yes,No,No,0
3262,M,WHITE,33-37,8,No,6,Specialized,High School Diploma,0,Violent/Non-Sex,More than 3 years,1,1,1,0,0,0,No,Yes,0,0,Yes,0,0,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,0,0,0,1,,,,,,.3220858895705521,.448159509202454,Yes,Yes,No,No,Yes,0
3263,M,BLACK,33-37,19,No,6,High,Less than HS diploma,0,Violent/Non-Sex,1-2 years,7,4,1,4,0,3,No,Yes,1,1,Yes,2,0,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,0,6,0,1,33.33333333333334,0,0,0,0,1,2.739375,Yes,Yes,No,No,Yes,1
3264,M,WHITE,28-32,22,No,5,Specialized,High School Diploma,3 or more,Violent/Sex,1-2 years,4,1,0,1,0,3,No,Yes,1,0,No,0,0,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,0,10 or more,0,1,46.66666666666666,0,0,0,0,1,2.608928571428572,No,No,No,No,No,0
3265,M,WHITE,38-42,22,Yes,8,Specialized,Less than HS diploma,0,Violent/Sex,More than 3 years,8,1,0,4,1,1,No,No,3 or more,0,No,3 or more,1,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,4 or more,10 or more,3 or more,0,7.646153846153847,.0769230797886848,0,0,0,0,0,No,No,No,No,No,1
3266,F,WHITE,48 or older,13,,4,,High School Diploma,1,,Greater than 2 to 3 years,10 or more,6 or more,1,2,5 or more,1,Yes,No,2,1,No,0,2 or more,No,No,No,Yes,No,No,No,No,No,No,No,No,0,6,0,1,51.72727272727273,0,0,0,0,1,.9628734622144112,Yes,No,No,No,No,1
3267,M,BLACK,33-37,7,No,4,Standard,High School Diploma,0,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,No,No,3 or more,4 or more,Yes,2,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,0,0,0,1,,,,,,1,3,No,Yes,Yes,No,No,0
3268,M,BLACK,38-42,19,Yes,7,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,4,3,3 or more,2,1,1,No,Yes,0,3,Yes,1,1,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,0,0,0,0,,,,,,0,0,No,No,No,No,No,1
3269,M,BLACK,33-37,20,No,1,Specialized,At least some college,3 or more,Drug,More than 3 years,5,0,0,0,5 or more,2,No,No,2,1,No,0,2 or more,No,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,0,,.0526315793395042,0,0,0,,,No,No,No,No,No,1
3270,M,BLACK,38-42,5,No,5,Specialized,High School Diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,8,3,1,4,1,2,No,No,3 or more,2,Yes,3 or more,1,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,1,6,0,0,17.5,.1363636404275894,0,0,0,.4545454545454545,.9487012987012987,No,Yes,No,Yes,No,1
3271,M,WHITE,38-42,3,No,9,Specialized,High School Diploma,3 or more,Property,More than 3 years,8,0,1,5 or more,0,2,No,No,3 or more,1,No,2,0,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,4 or more,0,0,3 or more,66.52173913043478,0,0,0,0,.6169934640522876,.4774509803921568,No,No,No,No,No,0
3272,M,BLACK,48 or older,11,No,3,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,0,1,1,0,0,No,No,1,0,Yes,0,0,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,,0,0,0,0,0,,No,No,No,No,No,1
3273,M,WHITE,38-42,4,Yes,8,High,High School Diploma,0,Other,1-2 years,6,6 or more,1,5 or more,2,3,No,No,3 or more,4 or more,No,2,1,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,0,2,0,3 or more,,,,,,0,0,No,Yes,Yes,No,No,1
3274,M,BLACK,38-42,4,Yes,9,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7,1,2,2,0,0,No,Yes,3 or more,1,Yes,3 or more,0,No,No,Yes,No,No,No,No,Yes,No,No,No,No,0,4,0,0,,,,,,0,,No,No,No,No,No,1
3275,M,BLACK,33-37,20,No,6,High,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,2,2,3 or more,0,1,0,Yes,No,0,3,Yes,0,1,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,2,0,0,1,510.5,0,0,0,0,.970617042115573,1.073212536728697,No,Yes,No,No,Yes,1
3276,M,BLACK,38-42,25,No,6,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,5,1,3 or more,1,0,0,No,No,0,1,Yes,0,0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,0,1,0,0,31,0,0,0,0,.8064516129032258,1,No,Yes,No,Yes,No,0
3277,M,BLACK,33-37,15,No,10,Specialized,Less than HS diploma,0,Drug,1-2 years,5,4,0,1,4,3,No,No,3 or more,4 or more,No,1,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,0,10 or more,0,0,45.53846153846154,.115384615957737,.0384615398943424,0,0,.6081081081081081,.6169763513513513,No,Yes,No,No,Yes,1
3278,M,WHITE,38-42,7,No,6,Specialized,High School Diploma,0,Violent/Sex,More than 3 years,8,2,2,3,0,1,No,No,3 or more,0,Yes,1,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,4 or more,10 or more,0,0,79.92307692307692,0,0,0,0,1,1.054619826756497,No,Yes,No,No,Yes,0
3279,M,WHITE,48 or older,17,No,6,High,Less than HS diploma,3 or more,Drug,1-2 years,7,5,1,2,5 or more,2,No,Yes,2,2,No,0,2 or more,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,0,0,0,1,159.3333333333333,0,0,0,0,0,0,Yes,No,No,No,No,1
3280,M,BLACK,43-47,23,No,3,Standard,High School Diploma,1,Property,Less than 1 year,8,1,1,5 or more,0,3,No,No,3 or more,0,Yes,3 or more,0,No,No,No,No,No,Yes,No,No,No,No,No,No,3,0,0,2,114.6666666666667,0,0,0,0,0,0,Yes,No,No,No,No,1
3281,M,BLACK,33-37,15,No,10,Specialized,At least some college,0,Violent/Non-Sex,More than 3 years,4,3,0,3,1,4,No,No,1,3,No,2,0,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,4 or more,10 or more,2,0,43.57575757575758,.1212121248245239,0,0,0,.8762169680111266,1.015994436717663,No,No,No,No,No,1
3282,M,BLACK,33-37,14,No,7,High,Less than HS diploma,3 or more,Drug,1-2 years,8,6 or more,0,0,5 or more,3,No,No,0,4 or more,No,0,2 or more,No,No,No,Yes,No,Yes,No,No,No,No,No,No,0,6,0,2,218.125,0,0,0,0,.0997134670487106,.2093123209169054,No,Yes,Yes,No,No,0
3283,M,BLACK,33-37,8,No,4,Standard,Less than HS diploma,0,,Less than 1 year,10 or more,1,2,1,5 or more,4,No,Yes,3 or more,2,Yes,0,2 or more,No,No,No,No,Yes,No,Yes,No,No,No,No,No,0,0,0,1,176,0,0,0,0,0,0,No,Yes,Yes,No,No,1
3284,M,BLACK,38-42,14,No,4,,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,2,0,1,0,0,0,No,Yes,0,0,Yes,0,0,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,0,0,0,0,,,,,,.8548199767711963,.8484320557491289,No,No,No,No,No,1
3285,M,BLACK,43-47,8,No,4,,At least some college,2,Violent/Non-Sex,More than 3 years,4,6 or more,3 or more,3,0,4,No,No,0,4 or more,Yes,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,2,268.3333333333333,0,0,0,0,0,.4537267080745341,No,Yes,No,Yes,No,1
3286,M,BLACK,43-47,20,No,3,,Less than HS diploma,2,Drug,1-2 years,4,0,1,2,0,1,No,Yes,0,0,Yes,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,1,7,0,3 or more,43.95454545454545,.0909090936183929,0,0,0,.5501551189245087,.7554291623578077,No,Yes,No,No,Yes,0
3287,M,BLACK,33-37,20,No,5,Specialized,High School Diploma,3 or more,Other,1-2 years,3,2,1,1,0,1,No,No,0,2,No,1,0,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,4 or more,1,1,0,35.81818181818182,0,0,0,.0909090936183929,0,0,No,No,No,No,No,0
3288,M,BLACK,33-37,6,No,6,High,High School Diploma,1,Violent/Non-Sex,More than 3 years,2,0,1,0,0,0,No,No,1,0,Yes,0,0,No,No,No,No,No,No,No,No,No,No,No,No,0,1,0,0,14.93333333333333,0,0,0,0,0,0,No,Yes,Yes,No,No,1
3289,M,BLACK,33-37,6,No,10,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,3,2,5 or more,No,No,3 or more,4 or more,Yes,2,0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4 or more,0,0,3 or more,86,0,0,0,0,0,0,No,Yes,Yes,No,No,1
3290,M,BLACK,38-42,22,No,1,High,Less than HS diploma,2,Property,Less than 1 year,7,6 or more,2,5 or more,1,5 or more,Yes,No,1,3,Yes,3 or more,1,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,0,6,3 or more,2,3.741935483870968,0,.0645161271095276,0,0,.7413793103448276,1,No,Yes,Yes,No,No,1
3291,M,WHITE,38-42,2,Yes,7,High,High School Diploma,2,Property,Less than 1 year,10 or more,3,2,5 or more,1,2,No,Yes,2,2,No,2,0,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,0,0,0,1,76,0,0,0,0,.2421052631578947,.9611842105263159,No,Yes,Yes,No,No,0
3292,M,BLACK,48 or older,1,No,10,Specialized,High School Diploma,0,Property,Greater than 2 to 3 years,10 or more,1,3 or more,5 or more,3,0,No,No,3 or more,0,Yes,3 or more,1,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,10 or more,1,3 or more,93.85714285714286,0,0,0,0,.8117706747843734,.741248097412481,Yes,No,No,No,No,0
